season,week,team,off_epa_per_play,success_rate,pass_rate,avg_air_yards,total_plays
2022,1,ARI,0.007,0.4062,0.6719,7.0263,64
2022,1,ATL,-0.0248,0.5143,0.4571,8.8125,70
2022,1,BAL,0.0551,0.3922,0.6275,12,51
2022,1,BUF,0.1753,0.5263,0.5789,7.3226,57
2022,1,CAR,0.0158,0.3469,0.6327,6.3333,49
2022,1,CHI,-0.0498,0.3019,0.3585,9.5294,53
2022,1,CIN,-0.2177,0.3684,0.6421,7.0189,95
2022,1,CLE,0.0155,0.4167,0.4583,7.7188,72
2022,1,DAL,-0.3428,0.381,0.7302,8.5,63
2022,1,DEN,0.084,0.4844,0.6875,6.5476,64
2022,1,DET,0.1246,0.4308,0.5846,8.2703,65
2022,1,GB,-0.1915,0.4576,0.7119,5.7632,59
2022,1,HOU,-0.1756,0.4478,0.597,7.1892,67
2022,1,IND,-0.009,0.4889,0.5778,6.26,90
2022,1,JAX,0.0551,0.4603,0.7143,8.619,63
2022,1,KC,0.4219,0.5758,0.5909,7.7949,66
2022,1,LA,-0.2729,0.3939,0.7273,5.8293,66
2022,1,LAC,0.0849,0.4603,0.5397,7,63
2022,1,LV,-0.1396,0.4211,0.7719,9.2162,57
2022,1,MIA,0.0394,0.4737,0.6316,8.3333,57
2022,1,MIN,0.1286,0.4262,0.541,5.125,61
2022,1,NE,-0.2466,0.4528,0.6038,9.3,53
2022,1,NO,0.1155,0.5088,0.6491,9.1875,57
2022,1,NYG,0.0189,0.45,0.45,5.7143,60
2022,1,NYJ,-0.2013,0.3797,0.7848,4.8475,79
2022,1,PHI,0.281,0.5352,0.4648,4.0625,71
2022,1,PIT,-0.1327,0.339,0.6441,8.1351,59
2022,1,SEA,0.0202,0.413,0.6522,5.1429,46
2022,1,SF,-0.1645,0.4179,0.4478,7.2857,67
2022,1,TB,0.0137,0.5,0.4833,11.2963,60
2022,1,TEN,0.0283,0.4237,0.5593,9.25,59
2022,1,WAS,0.0476,0.4058,0.6377,7.0732,69
2022,2,ARI,0.0315,0.5,0.6375,4.9592,80
2022,2,ATL,-0.1512,0.4386,0.5263,7.8846,57
2022,2,BAL,0.2674,0.4444,0.537,10.8276,54
2022,2,BUF,0.2262,0.4444,0.6508,7.6,63
2022,2,CAR,-0.0479,0.4444,0.5741,7.6552,54
