season,week,team,off_epa_per_play,success_rate,pass_rate,avg_air_yards,total_plays
2018,1,ARI,-0.2381,0.3922,0.7255,6.1176,51
2018,1,ATL,-0.2209,0.3231,0.7231,8.8372,65
2018,1,BAL,0.0456,0.4,0.5467,6.7368,75
2018,1,BUF,-0.6516,0.1639,0.6393,11.1515,61
2018,1,CAR,-0.0346,0.5,0.4828,6.2,58
2018,1,CHI,-0.0379,0.4394,0.5909,6.3429,66
2018,1,CIN,0.0176,0.54,0.6,4.9643,50
2018,1,CLE,-0.1617,0.3333,0.5476,10.5897,84
2018,1,DAL,-0.1351,0.3509,0.614,7.4483,57
2018,1,DEN,-0.1093,0.4722,0.5556,9.3846,72
2018,1,DET,-0.4119,0.3939,0.7879,7.75,66
2018,1,GB,-0.0234,0.4237,0.6949,9.4595,59
2018,1,HOU,-0.17,0.4143,0.5286,11.0882,70
2018,1,IND,-0.0922,0.4675,0.7143,5.6038,77
2018,1,JAX,-0.0456,0.4,0.5667,6.9697,60
2018,1,KC,0.2091,0.4364,0.5091,13,55
2018,1,LA,0.1371,0.4915,0.5763,10,59
2018,1,LAC,0.2446,0.5455,0.7013,9.4706,77
2018,1,LV,-0.1971,0.4688,0.6406,5.225,64
2018,1,MIA,-0.012,0.4643,0.5179,10.3929,56
2018,1,MIN,-0.1942,0.3521,0.5493,7.0833,71
2018,1,NE,-0.0116,0.375,0.5694,8.2051,72
2018,1,NO,0.1939,0.6066,0.7705,7.7333,61
2018,1,NYG,-0.2368,0.3016,0.619,6.7297,63
2018,1,NYJ,0.1207,0.463,0.4259,7.9048,54
2018,1,PHI,-0.0816,0.375,0.5781,8.1429,64
2018,1,PIT,-0.1497,0.4177,0.5696,9.3171,79
2018,1,SEA,-0.0693,0.3818,0.7091,10.2121,55
2018,1,SF,-0.363,0.3607,0.5902,11.1515,61
2018,1,TB,0.4455,0.4828,0.4828,12.1786,58
2018,1,TEN,-0.2904,0.403,0.5672,6.8158,67
2018,1,WAS,0.1691,0.5405,0.4459,3.3667,74
2018,2,ARI,-0.3895,0.2558,0.6512,4.9259,43
2018,2,ATL,0.2164,0.55,0.4667,10.4643,60
2018,2,BAL,-0.1395,0.475,0.725,9.6038,80
2018,2,BUF,-0.0808,0.4068,0.6271,10.8125,59
2018,2,CAR,0.1281,0.5077,0.7231,7.2,65
2018,2,CHI,-0.0856,0.4677,0.5806,6.0882,62
2018,2,CIN,0.0741,0.4143,0.6,6.119,70
2018,2,CLE,-0.0967,0.3833,0.55,7.9333,60
2018,2,DAL,0.1124,0.4167,0.5208,9.2,48
2018,2,DEN,0.0928,0.4375,0.5625,9.6857,64
2018,2,DET,0.0813,0.4247,0.7534,8.6792,73
2018,2,GB,0.009,0.4493,0.6522,7.3171,69
2018,2,HOU,0.1082,0.4098,0.5738,12.871,61
2018,2,IND,0.0275,0.4483,0.5517,4.2581,58
2018,2,JAX,0.2063,0.4706,0.6618,7.8,68
2018,2,KC,0.5106,0.5577,0.5577,10.7857,52
2018,2,LA,0.1951,0.5429,0.5,9.4375,70
2018,2,LAC,0.2618,0.4815,0.537,3.7407,54
2018,2,LV,0.093,0.5333,0.55,5.7812,60
2018,2,MIA,-0.1333,0.4909,0.4909,5.9565,55
2018,2,MIN,0.1947,0.5072,0.7391,7.5208,69
2018,2,NE,0.0134,0.4,0.6167,6.0857,60
2018,2,NO,-0.1633,0.4262,0.623,7.2857,61
2018,2,NYG,-0.1029,0.403,0.7463,6.5227,67
2018,2,NYJ,-0.284,0.3333,0.6984,9.6829,63
2018,2,PHI,-0.0024,0.4324,0.6757,6.8936,74
2018,2,PIT,0.2157,0.4933,0.8267,8.95,75
2018,2,SEA,-0.2042,0.4426,0.6393,8.7576,61
2018,2,SF,0.1507,0.4746,0.5424,5.8462,59
2018,2,TB,0.104,0.4737,0.614,9.6364,57
2018,2,TEN,0.0343,0.3684,0.4035,5.5455,57
2018,2,WAS,-0.142,0.4783,0.6812,7.4091,69
2018,3,ARI,-0.2288,0.2917,0.625,9.5385,48
2018,3,ATL,0.2396,0.5082,0.6557,8.8,61
2018,3,BAL,0.0637,0.4242,0.6212,9.359,66
2018,3,BUF,0.0069,0.381,0.3968,8.6364,63
2018,3,CAR,0.1251,0.4769,0.3846,9.0833,65
2018,3,CHI,-0.0575,0.4203,0.5507,9.6571,69
2018,3,CIN,0.0798,0.4833,0.7833,9.8667,60
2018,3,CLE,-0.0557,0.3973,0.5753,11.3243,73
2018,3,DAL,-0.2348,0.3621,0.6724,5.4706,58
2018,3,DEN,-0.0859,0.4262,0.6066,5.3824,61
2018,3,DET,0.0602,0.4638,0.5217,5.5429,69
2018,3,GB,-0.0964,0.4242,0.7424,7.2444,66
2018,3,HOU,0.0788,0.4754,0.6885,11.5263,61
2018,3,IND,-0.1861,0.3214,0.7679,6.6585,56
2018,3,JAX,-0.1609,0.375,0.6607,3.9706,56
2018,3,KC,0.3133,0.5303,0.6061,10.1053,66
2018,3,LA,0.2804,0.5857,0.5286,5.8889,70
2018,3,LAC,0.1296,0.4231,0.6154,9.2,52
2018,3,LV,0.073,0.5417,0.5833,5.9744,72
2018,3,MIA,0.339,0.4211,0.6579,10.3333,38
2018,3,MIN,-0.3733,0.3636,0.9091,6.0909,66
2018,3,NE,-0.2673,0.4681,0.5957,12.8077,47
2018,3,NO,0.3113,0.5263,0.6579,5.5714,76
2018,3,NYG,0.2085,0.4746,0.5593,5.8966,59
2018,3,NYJ,-0.1413,0.381,0.5238,6.5161,63
2018,3,PHI,-0.0883,0.4805,0.5455,7.7838,77
2018,3,PIT,0.1514,0.4333,0.6833,7.0263,60
2018,3,SEA,0.0153,0.3333,0.4242,9.2692,66
2018,3,SF,0.2453,0.5625,0.5469,9.0667,64
2018,3,TB,-0.0059,0.3824,0.7794,11.12,68
2018,3,TEN,-0.1325,0.3898,0.4068,4.2381,59
2018,3,WAS,0.1327,0.3962,0.3774,10.1,53
2018,4,ARI,-0.1168,0.3929,0.5,9.0741,56
2018,4,ATL,0.2337,0.4925,0.6418,11.0256,67
2018,4,BAL,0.1005,0.4861,0.6111,9.2143,72
2018,4,BUF,-0.4283,0.3036,0.7143,9.303,56
2018,4,CHI,0.4614,0.625,0.4821,10.3846,56
2018,4,CIN,0.2595,0.5147,0.6618,6.9512,68
2018,4,CLE,0.008,0.3947,0.5789,9.5122,76
2018,4,DAL,0.2101,0.5625,0.4688,9.6667,64
2018,4,DEN,0.04,0.4746,0.6271,8.5455,59
